地名,センター,燃やすごみ,燃やさないごみ,資源,びん
網島町,西部管理センター,月 木,水2,火1 火3,水4
内代町,西部管理センター,月 木,水4,火1 火3,水2
片町,西部管理センター,火 金,月3,月2 月4,水1
毛馬町,西部管理センター,火 金,木4,木1 木3,水2
善源寺町,西部管理センター,火 金,月3,月2 月4,水1
大東町,西部管理センター,月 木,金3,金2 金4,水1
高倉町,西部管理センター,月 木,金2,金1 金3,水4
友渕町,西部管理センター,火 金,月3,月2 月4,水1
中野町1～4丁目,西部管理センター,火 金,木4,木1 木3,水2
中野町5丁目,西部管理センター,火 金,水2,月1 月3,水4
東野田町1～4丁目,西部管理センター,月 木,金4,金1 金3,水2
東野田町5丁目火・日,西部管理センター,月 木,火2,火1 火3,水4
都島北通,西部管理センター,火 金,月4,月1 月3,水2
都島中通,西部管理センター,火 金,月2,月1 月3,水4
都島本通,西部管理センター,月 木,水1,火2 火4,水3
都島南通,西部管理センター,火 金,水2,月2 月4,水1
御幸町,西部管理センター,火 金,水2,月2 月4,水1
